2021 SAN JOAQUIN RIVER WATER YEAR FORECAST BREAKDOWN,,,,,,,,,,,,,,,,
"March 1, 2021",,,,,,,,,,,,,,,,
25%,6 ,1 ,14 ,17 ,39 ,141 ,245 ,375 ,240 ,45 ,12 ,5 ,"1,140 ",905 ,,
10%,6 ,1 ,14 ,17 ,39 ,165 ,275 ,425 ,320 ,70 ,16 ,7 ,"1,355 ","1,090 ",,
,,,,,,,,,,,,1966-2015 avg,"1,909 ","1,193 ",,
 ,Merced River below Merced Falls Unimpaired Flow (below Lake McClure)  [taf],,,,,,,,,,,,,,,
 ,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Ap-Jly,,
99%,5 ,5 ,6 ,10 ,16 ,22 ,37 ,45 ,19 ,4 ,1 ,0 ,170 ,105 ,,
90%,5 ,5 ,6 ,10 ,16 ,37 ,66 ,86 ,30 ,8 ,1 ,0 ,270 ,190 ,,
75%,5 ,5 ,6 ,10 ,16 ,45 ,88 ,117 ,43 ,12 ,2 ,1 ,350 ,260 ,,
50%,5 ,5 ,6 ,10 ,16 ,57 ,110 ,150 ,55 ,15 ,4 ,2 ,435 ,330 ,44%,
25%,5 ,5 ,6 ,10 ,16 ,74 ,125 ,189 ,93 ,23 ,6 ,3 ,555 ,430 ,,
10%,5 ,5 ,6 ,10 ,16 ,86 ,140 ,230 ,130 ,30 ,8 ,4 ,670 ,530 ,,
,,,,,,,,,,,,1966-2015 avg,992 ,623 ,,
,San Joaquin River inflow to Millerton Lake Unimpaired Flow  [taf],,,,,,,,,,,,,,,
 ,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Ap-Jly,,
99%,8 ,12 ,13 ,23 ,38 ,25 ,57 ,79 ,48 ,16 ,8 ,3 ,330 ,200 ,,
90%,8 ,12 ,13 ,23 ,38 ,44 ,102 ,170 ,72 ,26 ,12 ,5 ,525 ,370 ,,
75%,8 ,12 ,13 ,23 ,38 ,63 ,134 ,215 ,111 ,36 ,15 ,7 ,675 ,496 ,,
50%,8 ,12 ,13 ,23 ,38 ,79 ,165 ,260 ,150 ,45 ,17 ,10 ,820 ,620 ,46%,
25%,8 ,12 ,13 ,23 ,38 ,101 ,185 ,300 ,215 ,70 ,23 ,12 ,"1,000 ",770 ,,
10%,8 ,12 ,13 ,23 ,38 ,119 ,205 ,345 ,275 ,95 ,29 ,13 ,"1,175 ",920 ,,
,,,,,,,,,,,,1966-2015 avg,"1,793 ","1,228 ",,
,Sum of above Unimpaired Flows in San Joaquin River Tributaries  [taf],,,,,,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Ap-Jly,,
99%,27 ,24 ,42 ,74 ,122 ,151 ,279 ,353 ,132 ,36 ,12 ,3 ,"1,255 ",800 ,,
90%,27 ,24 ,42 ,74 ,122 ,222 ,435 ,584 ,222 ,59 ,18 ,6 ,"1,835 ","1,300 ",,
75%,27 ,24 ,42 ,74 ,122 ,278 ,538 ,743 ,329 ,81 ,26 ,11 ,"2,295 ","1,691 ",,
50%,27 ,24 ,42 ,74 ,122 ,343 ,635 ,900 ,435 ,100 ,34 ,18 ,"2,755 ","2,070 ",47%,
25%,27 ,24 ,42 ,74 ,122 ,434 ,720 ,1079 ,663 ,168 ,51 ,26 ,"3,430 ","2,630 ",,
10%,27 ,24 ,42 ,74 ,122 ,517 ,805 ,1255 ,885 ,235 ,66 ,33 ,"4,085 ","3,180 ",,
,,,,,,,,,,,,1966-2015 avg,"5,843 ","3,726 ",,
,Eight River Index  [taf],,,,,,,,,,,,,,,
,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Ap-Jly,,
99%,390 ,397 ,480 ,705 ,958 ,924 ,1044 ,1021 ,481 ,249 ,185 ,172 ,"7,005 ","2,795 ",,
90%,390 ,397 ,480 ,705 ,958 ,1199 ,1458 ,1479 ,676 ,327 ,233 ,218 ,"8,520 ","3,940 ",36%,
75%,390 ,397 ,480 ,705 ,958 ,1456 ,1790 ,1860 ,890 ,407 ,284 ,264 ,"9,880 ","4,946 ",,
50%,390 ,397 ,480 ,705 ,958 ,1800 ,2169 ,2265 ,1102 ,484 ,343 ,317 ,"11,410 ","6,020 ",48%,
25%,390 ,397 ,480 ,705 ,958 ,2212 ,2585 ,2738 ,1462 ,630 ,417 ,377 ,"13,350 ","7,415 ",,
10%,390 ,397 ,480 ,705 ,958 ,2576 ,2957 ,3173 ,1817 ,783 ,487 ,433 ,"15,155 ","8,730 ",64%,
,,,,,,,,,,,,1966-2015 avg,"23,688 ","10,019 ",,
Previous Month 8 River Index,,,,,Feb,958 ,taf,,,,,,,,,
